School Name,Misconduct Num,School Police Num,Number of Offenders,Truancy Rate,Female Offenders,Male Offenders,Charter or Public,Address,Address_Upper,City,City_Upper,State,Zip
Dormont Elementary,0,0.2,0,8.11,0,0,Public,3200 Annapolis Ave,3200 ANNAPOLIS AVE, Pittsburgh, PITTSBURGH,PA,15216
Fred L Aiken Elementary School,0,0.2,0,0.49,0,0,Public,881 Greentree Rd,881 GREENTREE RD, Pittsburgh, PITTSBURGH,PA,15220
Keystone Oaks HS,14,0.7,15,16.5,5,10,Public,1000 Kelton Ave,1000 KELTON AVE, Pittsburgh, PITTSBURGH,PA,15216
Founders Hall MS,5,4.5,5,51.68,4,1,Public,3600 Oneil Blvd,3600 ONEIL BLVD, McKeesport, MCKEESPORT,PA,15132
Francis Mcclure Intermediate School,0,0,0,34.49,0,0,Public,500 Longvue Dr,500 LONGVUE DR, White Oak, WHITE OAK,PA,15131
McKeesport Area SHS,15,5.5,15,42.52,8,7,Public,1960 Eden Park Blvd,1960 EDEN PARK BLVD, McKeesport, MCKEESPORT,PA,15132
Twin Rivers Intermediate School,0,0,0,29.06,0,0,Public,1600 Cornell St,1600 CORNELL ST, McKeesport, MCKEESPORT,PA,15132
Twin Rivers Primary School,0,2,0,22,0,0,Public,1600 Cornell St,1600 CORNELL ST, McKeesport, MCKEESPORT,PA,15132
David E. Williams MS,25,3,24,5.01,4,20,Public,60 Gawaldo Dr,60 GAWALDO DR, Coraopolis, CORAOPOLIS,PA,15108
Forest Grove ES,1,0,1,0,0,1,Public,20 Williams Dr,20 WILLIAMS DR, Coraopolis, CORAOPOLIS,PA,15108
JW Burkett Elementary School,3,0,3,0.46,0,3,Public,5501 Steubenville Pike,5501 STEUBENVILLE PIKE, McKees Rocks, MCKEES ROCKS,PA,15136
Montour High School,57,5,50,1.31,12,38,Public,223 Clever Rd,223 CLEVER RD, McKees Rocks, MCKEES ROCKS,PA,15136
Bonn Meade Elementary School,4,0.12,3,0,0,3,Public,1595 Brodhead Rd,1595 BRODHEAD RD, Coraopolis, CORAOPOLIS,PA,15108
JH Brooks Elementary School,0,0.12,0,0.29,0,0,Public,1720 Hassam Rd,1720 HASSAM RD, Coraopolis, CORAOPOLIS,PA,15108
JA Allard Elementary School,0,0.12,0,0,0,0,Public,170 Shafer Rd,170 SHAFER RD, Coraopolis, CORAOPOLIS,PA,15108
McCormick Elementary School,0,0.12,0,0,0,0,Public,2801 Beaver Grade Rd,2801 BEAVER GRADE RD, Moon Twp, MOON TWP,PA,15108
Moon Area Upper Middle School,15,0.1,14,0,2,12,Public,904 Beaver Grade Rd,904 BEAVER GRADE RD, Coraopolis, CORAOPOLIS,PA,15108
Moon SHS,25,0.2,35,7.1,11,24,Public,8353 University Blvd,8353 UNIVERSITY BLVD, Coraopolis, CORAOPOLIS,PA,15108
Richard J. Hyde Elementary School,0,1.12,0,0,0,0,Public,110 Wallridge Dr,110 WALLRIDGE DR, Moon Twp, MOON TWP,PA,15108
Foster Elementary School,0,0,0,0.83,0,0,Public,700 Vermont Ave,700 VERMONT AVE, Pittsburgh, PITTSBURGH,PA,15234
Hoover Elementary School,0,0,0,1.61,0,0,Public,37 Robb Hollow Rd,37 ROBB HOLLOW RD, Pittsburgh, PITTSBURGH,PA,15243
Howe Elementary School,1,0,1,2.55,0,1,Public,400 Broadmoor Ave,400 BROADMOOR AVE, Mt Lebanon, MT LEBANON,PA,15228
Jefferson Elementary School,0,0,0,3.86,0,0,Public,11 Moffett St,11 MOFFETT ST, Pittsburgh, PITTSBURGH,PA,15243
Jefferson Middle School,2,0,2,0.6,1,1,Public,21 Moffett St,21 MOFFETT ST, Pittsburgh, PITTSBURGH,PA,15243
Lincoln Elementary School,2,0,2,1.89,0,2,Public,2 Ralston Pl,2 RALSTON PL, Pittsburgh, PITTSBURGH,PA,15216
Markham Elementary School,0,0,0,2.81,0,0,Public,165 Crescent Dr,165 CRESCENT DR, Mt Lebanon, MT LEBANON,PA,15228
Mellon Middle School,5,0,5,1.22,0,5,Public,11 Castle Shannon Blvd,11 CASTLE SHANNON BLVD, Pittsburgh, PITTSBURGH,PA,15228
Mt. Lebanon SHS,37,3,34,2.26,13,21,Public,155 Cochran Rd,155 COCHRAN RD, Pittsburgh, PITTSBURGH,PA,15228
Washington Elementary School,0,0,0,1.33,0,0,Public,735 Washington Rd,735 WASHINGTON RD, Pittsburgh, PITTSBURGH,PA,15228
Bradford Woods Elementary School,0,0,0,3.02,0,0,Public,41 Forest Rd,41 FOREST RD, Bradford Woods, BRADFORD WOODS,PA,15015
Carson Middle School,1,0,1,5.16,0,1,Public,200 Hillvue Ln,200 HILLVUE LN, Pittsburgh, PITTSBURGH,PA,15237
Franklin Elementary School,0,0,0,1.59,0,0,Public,2401 Rochester Rd,2401 ROCHESTER RD, Sewickley, SEWICKLEY,PA,15143
Hosack Elementary School,0,0,0,2.33,0,0,Public,9275 Peebles Rd,9275 PEEBLES RD, Allison Park, ALLISON PARK,PA,15101
Ingomar Elementary School,0,0,0,1.59,0,0,Public,602 W Ingomar Rd,602 W INGOMAR RD, Pittsburgh, PITTSBURGH,PA,15237
Ingomar Middle School,2,0,3,1.41,1,2,Public,1521 Ingomar Heights Rd,1521 INGOMAR HEIGHTS RD, Pittsburgh, PITTSBURGH,PA,15237
Marshall Elementary School,0,0,0,2.4,0,0,Public,5135 Wexford Run Rd,5135 WEXFORD RUN RD, Wexford, WEXFORD,PA,15090
Marshall Middle School,0,0,0,1.56,0,0,Public,5145 Wexford Run Rd,5145 WEXFORD RUN RD, Wexford, WEXFORD,PA,15090
McKnight Elementary School,0,0,0,2.8,0,0,Public,500 Cumberland Rd,500 CUMBERLAND RD, Pittsburgh, PITTSBURGH,PA,15237
North Allegheny High School,23,2,26,3.98,6,20,Public,10375 Perry Hwy,10375 PERRY HWY, Wexford, WEXFORD,PA,15090
Peebles Elementary School,0,0,0,1.95,0,0,Public,8625 Peebles School Rd,8625 PEEBLES SCHOOL RD, Pittsburgh, PITTSBURGH,PA,15237
Highcliff Elementary School,0,0,0,0,0,0,Public,156 Peony Ave,156 PEONY AVE, Pittsburgh, PITTSBURGH,PA,15229
North Hills Middle School,0,3,0,0,0,0,Public,55 Rochester Rd,55 ROCHESTER RD, Pittsburgh, PITTSBURGH,PA,15229
North Hills High School,18,3,18,0,4,14,Public,53 Rochester Rd,53 ROCHESTER RD, Pittsburgh, PITTSBURGH,PA,15229
Ross Elementary School,0,0,0,0,0,0,Public,90 Houston Rd,90 HOUSTON RD, Pittsburgh, PITTSBURGH,PA,15237
Westview Elementary School,0,0,0,0,0,0,Public,47 Chalfonte Ave,47 CHALFONTE AVE, Pittsburgh, PITTSBURGH,PA,15229
Avalon ES,4,0,6,40.42,0,6,Public,721 California Ave,721 CALIFORNIA AVE, Pittsburgh, PITTSBURGH,PA,15202
Bellevue ES,8,0,13,29.81,2,11,Public,435 Lincoln Ave,435 LINCOLN AVE, Bellevue, BELLEVUE,PA,15202
Northgate MSHS,22,1,22,30.91,8,14,Public,591 Union Ave,591 UNION AVE, Pittsburgh, PITTSBURGH,PA,15202
Linton MS,72,6,101,20.91,38,63,Public,250 Aster Street,250 ASTER STREET, Penn Hills, PENN HILLS,PA,15235
Penn Hills ES,23,3,30,22.57,13,17,Public,1079 Jefferson Rd,1079 JEFFERSON RD, Penn Hills, PENN HILLS,PA,15235
Penn Hills SHS,122,12,149,28.6,66,83,Public,309 Collins Dr,309 COLLINS DR, Penn Hills, PENN HILLS,PA,15235
Eden Hall Upper Elementary School,0,0,0,4.14,0,0,Public,3900 Bakerstown Rd,3900 BAKERSTOWN RD, Gibsonia, GIBSONIA,PA,15044
Hance Elementary School,0,0,0,0,0,0,Public,5518 Molnar Dr,5518 MOLNAR DR, Gibsonia, GIBSONIA,PA,15044
Pine Richland High School,28,2,29,6.05,8,21,Public,700 Warrendale Rd,700 WARRENDALE RD, Gibsonia, GIBSONIA,PA,15044
Pine Richland MS,15,0,14,4.05,8,6,Public,100 Logan Rd,100 LOGAN RD, Gibsonia, GIBSONIA,PA,15044
Richland Elementary School,0,0,0,2.66,0,0,Public,3811 Bakerstown Rd,3811 BAKERSTOWN RD, Gibsonia, GIBSONIA,PA,15044
Wexford Elementary School,0,0,0,1.94,0,0,Public,250 Brown Rd,250 BROWN RD, Wexford, WEXFORD,PA,15090
Academy at Westinghouse,159,5,204,8.04,107,97,Public,1101 N Murtland St,1101 N MURTLAND ST, Pittsburgh, PITTSBURGH,PA,15208
Alderdice High School,133,5,151,3.86,77,74,Public,2409 Shady Ave,2409 SHADY AVE, Pittsburgh, PITTSBURGH,PA,15217
Allegheny K-5,13,1.08,22,2.85,2,20,Public,810 Arch St,810 ARCH ST, Pittsburgh, PITTSBURGH,PA,15212
Allegheny 6-8,20,1.1,31,9.57,13,18,Public,810 Arch St,810 ARCH ST, Pittsburgh, PITTSBURGH,PA,15212
Arlington K-8,25,2.1,25,11.39,8,17,Public,800 Rectenwald St,800 RECTENWALD ST, Pittsburgh, PITTSBURGH,PA,15210
Arsenal K-5,49,1.08,37,0,14,23,Public,215 39th St,215 39TH ST, Pittsburgh, PITTSBURGH,PA,15201
Arsenal 6-8,17,1.1,21,7.07,9,12,Public,220 40th St,220 40TH ST, Pittsburgh, PITTSBURGH,PA,15201
Banksville K-5,0,0.08,0,2.41,0,0,Public,1001 Carnahan Rd,1001 CARNAHAN RD, Pittsburgh, PITTSBURGH,PA,15216
Beechwood K-5,4,0.08,5,4.18,1,4,Public,810 Rockland Ave,810 ROCKLAND AVE, Pittsburgh, PITTSBURGH,PA,15216
Brashear High School,89,5,143,8.74,55,88,Public,590 Crane Ave,590 CRANE AVE, Pittsburgh, PITTSBURGH,PA,15216
Brookline K-8,3,0.1,3,4.13,2,1,Public,500 Woodbourne Ave,500 WOODBOURNE AVE, Pittsburgh, PITTSBURGH,PA,15226
CAPA 6-12,21,3,28,0,13,15,Public,111 9th St,111 9TH ST, Pittsburgh, PITTSBURGH,PA,15222
Carmalt K-8,14,0.1,12,7.88,4,8,Public,1550 Breining St,1550 BREINING ST, Pittsburgh, PITTSBURGH,PA,15234
