School Name,Misconduct Num,School Police Num,Number of Offenders,Truancy Rate,Female Offenders,Male Offenders,Charter or Public,Address,Address_Upper,City,City_Upper,State,Zip
Quaker Valley HS,14,0.25,11,0.16,2,9,Public,625 Beaver St,625 BEAVER ST, Leetsdale, LEETSDALE,PA,15056
Quaker Valley MS,7,0.25,6,0.87,1,5,Public,618 Harbaugh St,618 HARBAUGH ST, Sewickley, SEWICKLEY,PA,15143
Riverview HS,32,0,32,16.44,2,30,Public,100 Hulton Rd,100 HULTON RD, Oakmont, OAKMONT,PA,15139
Tenth Street ES,1,0,1,35.71,0,1,Public,901 Pennsylvania Ave,901 PENNSYLVANIA AVE, Oakmont, OAKMONT,PA,15139
Verner ES,0,0,0,39.89,0,0,Public,700 1st St,700 1ST ST, Verona, VERONA,PA,15147
Burchfield Primary School,0,0.05,0,6.27,0,0,Public,15000 Burchfield Rd,15000 BURCHFIELD RD, Allison Park, ALLISON PARK,PA,15101
Jeffrey Primary School,0,0.05,0,14.04,0,0,Public,201 Wetzel Road,201 WETZEL ROAD, Glenshaw, GLENSHAW,PA,15116
Marzolf Primary School,2,0.05,2,11.83,0,2,Public,101 Marzolf Road,101 MARZOLF ROAD, Pittsburgh, PITTSBURGH,PA,15209
Reserve Primary School,0,0.05,0,13.89,0,0,Public,2107 Lonsdale St,2107 LONSDALE ST, Pittsburgh, PITTSBURGH,PA,15212
Rogers Primary School,0,0.05,0,10.71,0,0,Public,705 Scott Ave,705 SCOTT AVE, Glenshaw, GLENSHAW,PA,15116
Shaler Area Elementary School,0,1.15,0,13.68,0,0,Public,700 Scott Ave,700 SCOTT AVE, Glenshaw, GLENSHAW,PA,15116
Shaler Area High School,92,5.45,80,13.3,17,63,Public,381 Wible Run Rd,381 WIBLE RUN RD, Pittsburgh, PITTSBURGH,PA,15209
Shaler Area Middle School,21,1.15,26,21.8,8,18,Public,1810 Mt. Royal Blvd. Glenshaw,1810 MT. ROYAL BLVD. GLENSHAW, PA. 15116, PA. 15116,,
South Allegheny Early Childhood Center,0,1,0,18.86,0,0,Public,1 Glendale St,1 GLENDALE ST, McKeesport, MCKEESPORT,PA,15133
South Allegheny Elementary School,4,1,5,14.96,0,5,Public,1707 Washington Blvd,1707 WASHINGTON BLVD, McKeesport, MCKEESPORT,PA,15133
South Allegheny MSHS,26,1,31,18.55,9,22,Public,2743 Washington Blvd,2743 WASHINGTON BLVD, McKeesport, MCKEESPORT,PA,15133
South Fayette Intermediate School,1,1,1,0,0,1,Public,1200 Lt Will Way,1200 LT WILL WAY, McDonald, MCDONALD,PA,15057
South Fayette Middle School,0,0.25,0,1.03,0,0,Public,3700 Old Oakdale Rd,3700 OLD OAKDALE RD, McDonald, MCDONALD,PA,15057
South Fayette Township Elementary School,0,0.25,0,0.29,0,0,Public,3620 Old Oakdale Rd,3620 OLD OAKDALE RD, McDonald, MCDONALD,PA,15057
South Fayette Township High School,8,0.25,9,2.2,2,7,Public,3640 Old Oakdale Rd,3640 OLD OAKDALE RD, McDonald, MCDONALD,PA,15057
South Park Elementary Center,25,1,17,0,6,11,Public,2001 Eagle Pride Ln,2001 EAGLE PRIDE LN, South Park Township, SOUTH PARK TOWNSHIP,PA,15129
South Park MS,21,2,22,0,6,16,Public,2500 Stewart Rd,2500 STEWART RD, South Park Township, SOUTH PARK TOWNSHIP,PA,15129
South Park SHS,6,1,6,0,4,2,Public,2005 Eagle Ridge Dr,2005 EAGLE RIDGE DR, South Park Township, SOUTH PARK TOWNSHIP,PA,15129
Barrett Elementary School,7,3,8,49.18,5,3,Public,221 E 12th Ave,221 E 12TH AVE, Homestead, HOMESTEAD,PA,15120
Park Elementary School,1,2,1,18.47,0,1,Public,4102 Main St,4102 MAIN ST, Munhall, MUNHALL,PA,15120
Steel Valley Middle School,3,3.5,3,36.08,2,1,Public,3114 Main St,3114 MAIN ST, Munhall, MUNHALL,PA,15120
Steel Valley High School,4,4.5,5,30.08,0,5,Public,3113 Main St,3113 MAIN ST, Munhall, MUNHALL,PA,15120
Sto Rox JSHS,60,2,83,24.43,23,60,Public,1105 Valley St,1105 VALLEY ST, McKees Rocks, MCKEES ROCKS,PA,15136
Sto Rox Primary Center,0,1,0,20.13,0,0,Public,300 Ewing Rd,300 EWING RD, McKees Rocks, MCKEES ROCKS,PA,15136
Sto Rox Upper Elementary School,21,1,33,13,10,23,Public,298 Ewing Rd,298 EWING RD, McKees Rocks, MCKEES ROCKS,PA,15136
Baker Elementary School,1,0.25,1,2.45,0,1,Public,2300 Morton Rd,2300 MORTON RD, Pittsburgh, PITTSBURGH,PA,15241
Boyce Middle School,3,0.25,3,0.96,1,2,Public,1500 Boyce Rd,1500 BOYCE RD, Pittsburgh, PITTSBURGH,PA,15241
Eisenhower Elementary School,0,0.25,0,0.21,0,0,Public,100 Warwick Dr,100 WARWICK DR, Pittsburgh, PITTSBURGH,PA,15241
Fort Couch Middle School,5,0.25,5,0.42,1,4,Public,515 Fort Couch Rd,515 FORT COUCH RD, Upper St Clair, UPPER ST CLAIR,PA,15241
Streams Elementary School,1,0.25,1,0.2,0,1,Public,1560 Ashlawn Dr,1560 ASHLAWN DR, Pittsburgh, PITTSBURGH,PA,15241
Upper Saint Clair High School,15,3.75,14,0.86,2,12,Public,1825 McLaughlin Run Rd,1825 MCLAUGHLIN RUN RD, Pittsburgh, PITTSBURGH,PA,15241
Donaldson Elementary School,0,0.25,0,0,0,0,Public,600 Donaldson Rd,600 DONALDSON RD, Oakdale, OAKDALE,PA,15071
McKee Elementary School,0,0.25,0,0,0,0,Public,1501 Oakdale Rd,1501 OAKDALE RD, Oakdale, OAKDALE,PA,15071
West Allegheny Middle School,0,0.5,0,0,0,0,Public,207 W Allegheny Rd,207 W ALLEGHENY RD, Imperial, IMPERIAL,PA,15126
West Allegheny SHS,0,1,0,0,0,0,Public,205 W Allegheny Rd,205 W ALLEGHENY RD, Imperial, IMPERIAL,PA,15126
Wilson Elementary School,0,0.25,0,0,0,0,Public,100 Bruno Ln,100 BRUNO LN, Imperial, IMPERIAL,PA,15126
Gill hall Elementary School,0,0,0,0.33,0,0,Public,829 Gill Hall Rd,829 GILL HALL RD, Clairton, CLAIRTON,PA,15025
Jefferson Elementary School,0,0,0,0,0,0,Public,875 Old Clairton Rd,875 OLD CLAIRTON RD, Clairton, CLAIRTON,PA,15025
McClellan Elementary School,0,0,0,0,0,0,Public,360 School Ln,360 SCHOOL LN, Pittsburgh, PITTSBURGH,PA,15236
Pleasant Hills Middle School,2,0,2,0.74,0,2,Public,404 Old Clairton Rd,404 OLD CLAIRTON RD, Pleasant Hills, PLEASANT HILLS,PA,15236
Thomas Jefferson High School,5,2,6,3.26,1,5,Public, 830 Old Clairton Road, 830 OLD CLAIRTON ROAD,Jefferson Hills,JEFFERSON HILLS,PA,15025
Clara Barton Elementary School,0,0,0,24.78,0,0,Public,764 Beverly Dr,764 BEVERLY DR, West Mifflin, WEST MIFFLIN,PA,15122
Homeville Elementary School,0,0,0,23.61,0,0,Public,4315 Eliza St,4315 ELIZA ST, West Mifflin, WEST MIFFLIN,PA,15122
New Emerson Elementary School,0,0,0,19.12,0,0,Public,1922 Pennsylvania Ave,1922 PENNSYLVANIA AVE, West Mifflin, WEST MIFFLIN,PA,15122
West Mifflin Area High School,43,0,57,30.46,22,35,Public,91 Commonwealth Ave,91 COMMONWEALTH AVE, West Mifflin, WEST MIFFLIN,PA,15122
West Mifflin Area Middle School,0,0,0,30.88,0,0,Public,81 Commonwealth Ave,81 COMMONWEALTH AVE, West Mifflin, WEST MIFFLIN,PA,15122
Edgewood Elementary School,1,0,1,39.73,0,1,Public,241 Maple Ave,241 MAPLE AVE, Pittsburgh, PITTSBURGH,PA,15218
Wilkins Elementary School,5,0,6,48.77,2,4,Public,362 Churchill Rd,362 CHURCHILL RD, Pittsburgh, PITTSBURGH,PA,15235
Woodland Hills Intermediate School,12,2,16,51.8,9,7,Public,7600 Evans St,7600 EVANS ST, Pittsburgh, PITTSBURGH,PA,15218
Woodland Hills JSHS,128,16,181,45.78,93,88,Public,2550 Greensburg Pike,2550 GREENSBURG PIKE, Pittsburgh, PITTSBURGH,PA,15218
